nl,nl_template,sql,sql_template
How many immunodeficiency patients have been given HIV test whose results were greater than 4.9,How many PROBLEM_1 patients have been given TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many immunodeficiency patients have been given HIV test whose results were greater than 3.54,How many PROBLEM_1 patients have been given TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV above 1.5,How many PROBLEM_1 patients have been tested for TEST_1 above NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV above 4.9,How many PROBLEM_1 patients have been tested for TEST_1 above NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV above 3.54,How many PROBLEM_1 patients have been tested for TEST_1 above NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results greater than 1.5,How many people with PROBLEM_1 were tested for TEST_1 with results greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results greater than 4.9,How many people with PROBLEM_1 were tested for TEST_1 with results greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results greater than 3.54,How many people with PROBLEM_1 were tested for TEST_1 with results greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values greater than 1.5,How many people suffering from PROBLEM_1 were tested for TEST_1 values greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values greater than 4.9,How many people suffering from PROBLEM_1 were tested for TEST_1 values greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values greater than 3.54,How many people suffering from PROBLEM_1 were tested for TEST_1 values greater than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum > 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1 )
How many patients suffering from immunodeficiency were tested for HIV below 1.5,How many patients suffering from PROBLEM_1 were tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many patients suffering from immunodeficiency were tested for HIV below 4.9,How many patients suffering from PROBLEM_1 were tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many patients suffering from immunodeficiency were tested for HIV below 3.54,How many patients suffering from PROBLEM_1 were tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been given HIV test whose results were less than 1.5,How many PROBLEM_1 patients have been given TEST_1 test whose results were less than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been given HIV test whose results were less than 4.9,How many PROBLEM_1 patients have been given TEST_1 test whose results were less than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been given HIV test whose results were less than 3.54,How many PROBLEM_1 patients have been given TEST_1 test whose results were less than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV below 1.5,How many PROBLEM_1 patients have been tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV below 4.9,How many PROBLEM_1 patients have been tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many immunodeficiency patients have been tested for HIV below 3.54,How many PROBLEM_1 patients have been tested for TEST_1 below NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results lesser than 1.5,How many people with PROBLEM_1 were tested for TEST_1 with results lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results lesser than 4.9,How many people with PROBLEM_1 were tested for TEST_1 with results lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people with immunodeficiency were tested for HIV with results lesser than 3.54,How many people with PROBLEM_1 were tested for TEST_1 with results lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values lesser than 1.5,How many people suffering from PROBLEM_1 were tested for TEST_1 values lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 1.5 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values lesser than 4.9,How many people suffering from PROBLEM_1 were tested for TEST_1 values lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 4.9 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people suffering from immunodeficiency were tested for HIV values lesser than 3.54,How many people suffering from PROBLEM_1 were tested for TEST_1 values lesser than NUMERIC_1,select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%immunodeficiency%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%HIV%') and valuenum < 3.54 ),select count(distinct subject_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and subject_id IN (select distinct subject_id from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1 )
How many people were treated with Januvia dosage greater than 1.5,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Januvia dosage greater than 4.9,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Januvia dosage greater than 3.54,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Digoxin dosage greater than 1.5,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Digoxin dosage greater than 4.9,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Digoxin dosage greater than 3.54,How many people were treated with TREATMENT_1 dosage greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia greater than 1.5,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia greater than 4.9,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia greater than 3.54,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin greater than 1.5,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin greater than 4.9,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin greater than 3.54,How many people were administered TREATMENT_1 greater than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia dosage above 1.5,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia dosage above 4.9,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Januvia dosage above 3.54,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin dosage above 1.5,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin dosage above 4.9,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were administered Digoxin dosage above 3.54,How many people were administered TREATMENT_1 dosage above NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Januvia dosage above 1.5 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Januvia dosage above 4.9 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Januvia dosage above 3.54 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Digoxin dosage above 1.5 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Digoxin dosage above 4.9 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were given Digoxin dosage above 3.54 in the hospital,How many people were given TREATMENT_1 dosage above NUMERIC_1 in the hospital,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Digoxin%' and cast(dose_val_rx as float) > 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) > NUMERIC_1
How many people were treated with Januvia dosage lesser than 1.5,How many people were treated with TREATMENT_1 dosage lesser than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) < 1.5,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1
How many people were treated with Januvia dosage lesser than 4.9,How many people were treated with TREATMENT_1 dosage lesser than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) < 4.9,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1
How many people were treated with Januvia dosage lesser than 3.54,How many people were treated with TREATMENT_1 dosage lesser than NUMERIC_1,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%Januvia%' and cast(dose_val_rx as float) < 3.54,select count(distinct subject_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and cast(dose_val_rx as float) < NUMERIC_1
